"company_id","sum(current_situation.NumberOfFranchises)","Name_exp_3"
"16","23","1"
"20","57","1"
"19","81","1"
"26","114","1"
"17","117","1"
"21","125","1"
"7","138","2"
"8","145","2"
"12","153","2"
"18","162","2"
"2","180","2"
"23","224","3"
"13","224","3"
"14","225","3"
"10","238","3"
"5","301","3"
"6","383","4"
"15","384","4"
"22","460","4"
"1","483","4"
"24","597","4"
"4","617","5"
"9","688","5"
"11","798","5"
"25","1097","5"
"3","2651","5"
